;Date;Open;High;Low;Close;Adj Close;Volume;Symbol
0;1/1/2015;272.421;272.421;268.977;269.905;269.905;770693.0;BTC-USD
1;1/2/2015;269.743;269.924;266.385;266.736;266.736;855392.0;BTC-USD
2;1/3/2015;266.646;266.646;213.316;213.316;213.316;5193080.0;BTC-USD
3;1/4/2015;211.022;215.446;191.241;195.668;195.668;3888140.0;BTC-USD
4;1/5/2015;195.803;216.048;195.803;208.218;208.218;10649500.0;BTC-USD
5;1/6/2015;208.434;211.824;204.454;211.212;211.212;3242950.0;BTC-USD
6;1/7/2015;21.181;214.987;208.114;211.818;211.818;3388950.0;BTC-USD
7;1/8/2015;211.561;21.235;200.185;200.807;200.807;2924520.0;BTC-USD
8;1/9/2015;201.002;201.129;195.863;198.336;198.336;1951160.0;BTC-USD
9;1/10/2015;196.999;198.034;162.186;165.332;165.332;2911190.0;BTC-USD
10;1/11/2015;16.536;187.821;164.399;172.456;172.456;2581500.0;BTC-USD
11;1/12/2015;171.768;17.942;169.676;171.423;171.423;1738370.0;BTC-USD
12;1/13/2015;17.102;171.914;153.346;154.112;154.112;4039950.0;BTC-USD
13;1/14/2015;154.961;158.267;111.374;115.701;115.701;4721280.0;BTC-USD
14;1/15/2015;115.324;137.658;115.254;128.277;128.277;3487080.0;BTC-USD
15;1/16/2015;127.719;147.278;127.169;140.227;140.227;2669280.0;BTC-USD
16;1/17/2015;13.978;140.362;125.219;129.341;129.341;1514960.0;BTC-USD
17;1/18/2015;129.603;137.228;123.336;133.333;133.333;1694820.0;BTC-USD
18;1/19/2015;132.857;13.593;130.638;134.178;134.178;728641.0;BTC-USD
19;1/20/2015;134.099;134.481;129.964;132.355;132.355;1069660.0;BTC-USD
20;1/21/2015;13.239;137.417;131.821;137.331;137.331;1191370.0;BTC-USD
21;1/22/2015;137.427;145.388;137.427;141.875;141.875;1660700.0;BTC-USD
22;1/23/2015;141.231;143.016;138.068;142.595;142.595;1267530.0;BTC-USD
23;1/24/2015;143.068;188.701;141.913;18.438;18.438;4858920.0;BTC-USD
24;1/25/2015;184.205;237.495;18.395;22.483;22.483;9178540.0;BTC-USD
25;1/26/2015;224.549;238.536;20.607;208.105;208.105;8803090.0;BTC-USD
26;1/27/2015;207.418;213.702;186.954;208.608;208.608;4502690.0;BTC-USD
27;1/28/2015;209.127;213.484;180.943;187.202;187.202;3295480.0;BTC-USD
28;1/29/2015;187.663;194.891;183.267;191.567;191.567;2191570.0;BTC-USD
29;1/30/2015;191.446;198.438;189.064;189.763;189.763;1805110.0;BTC-USD
30;1/31/2015;189.613;193.992;187.051;18.735;18.735;1205140.0;BTC-USD
31;2/1/2015;187.878;188.098;167.915;180.352;180.352;2661610.0;BTC-USD
32;2/2/2015;181.281;188.245;174.792;187.618;187.618;1955370.0;BTC-USD
33;2/3/2015;187.418;19.376;180.809;182.176;182.176;2425490.0;BTC-USD
34;2/4/2015;182.085;183.888;175.758;179.235;179.235;3683490.0;BTC-USD
35;2/5/2015;179.474;181.016;17.302;174.123;174.123;4490700.0;BTC-USD
36;2/6/2015;174.033;182.746;174.019;175.941;175.941;2332680.0;BTC-USD
37;2/7/2015;175.956;179.174;174.269;178.172;178.172;1272440.0;BTC-USD
